Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Order_Hour,Order_DayOfWeek,Pickup_Delay,distance_km
ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,11:30:00,Sunny,High ,motorcycle ,Urban ,120,Clothing,0,5,1855425.0,
akqg208421122,34,4.5,12.913041,77.683237,13.043041,77.813237,19:45:00,Stormy,Jam ,scooter ,Metropolitian ,165,Electronics,0,4,1847270.0,
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,08:30:00,Sandstorms,Low ,motorcycle ,Urban ,130,Sports,0,5,1855245.0,
rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.026494,18:00:00,Sunny,Medium ,motorcycle ,Metropolitian ,105,Cosmetics,0,1,1831330.0,
zguw716275638,32,4.6,12.972793,80.249982,13.012793,80.289982,13:30:00,Cloudy,High ,scooter ,Metropolitian ,150,Toys,0,5,1845465.0,
fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,21:20:00,Cloudy,Jam ,motorcycle ,Urban ,130,Toys,0,4,1867530.0,
njmo150975311,33,4.7,23.369746,85.33982,23.479746,85.44982,19:15:00,Fog,Jam ,scooter ,Metropolitian ,200,Toys,0,4,1877490.0,
jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,17:25:00,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Snacks,0,0,1862970.0,
uaeb808891380,22,4.8,17.433809,78.386744,17.563809,78.516744,20:55:00,Stormy,Jam ,motorcycle ,Metropolitian ,170,Electronics,0,6,1854545.0,
bgvc052754213,36,4.2,30.327968,78.046106,30.397968,78.116106,21:55:00,Fog,Jam ,motorcycle ,Metropolitian ,230,Toys,0,5,1906450.0,
vmau710398846,21,4.7,10.003064,76.307589,10.043064,76.347589,14:55:00,Stormy,High ,motorcycle ,Metropolitian ,115,Cosmetics,0,6,1904585.0,
lcwn330553507,23,4.7,18.56245,73.916619,18.65245,74.006619,17:30:00,Sandstorms,Medium ,scooter ,Metropolitian ,105,Shoes,0,4,1877380.0,
wcjs752046999,34,4.3,30.899584,75.809346,30.919584,75.829346,09:20:00,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Apparel,0,6,1904250.0,
blhl288691670,24,4.7,26.463504,80.372929,26.593504,80.502929,19:50:00,Fog,Jam ,scooter ,Metropolitian ,205,Jewelry,0,0,1903445.0,
zyvo118176215,29,4.5,19.176269,72.836721,19.266269,72.926721,20:25:00,Sandstorms,Jam ,van,Metropolitian ,100,Outdoors,0,5,1835795.0,
uhfs888375680,35,4.0,12.311072,76.654878,12.351072,76.694878,14:55:00,Windy,High ,scooter ,Metropolitian ,33,Grocery,0,1,1881550.0,
vmfv999642595,33,4.2,18.592718,73.773572,18.702718,73.883572,20:30:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,200,Cosmetics,0,2,1860280.0,
qfgc848777135,34,4.9,17.426228,78.407495,17.496228,78.477495,20:40:00,Cloudy,Jam ,motorcycle ,Metropolitian ,205,Snacks,0,6,1854530.0,
vwmc439983136,21,4.7,22.552672,88.352885,22.582672,88.382885,21:15:00,Windy,Jam ,motorcycle ,Urban ,75,Jewelry,0,1,1902090.0,
ntzy027061451,25,4.1,18.563934,73.915367,18.643935,73.995367,20:20:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Toys,0,2,1860265.0,
